Ciego de Avila,Holguín,297
Camagüey,Holguín,409
Las Tunas,Holguín,577
Holguín,Holguín,349
Granma,Holguín,369
Santiago de Cuba,Holguín,267
Guantánamo,Holguín,38
Pinar del Río,Granma,23
Artemisa,Granma,524
La Habana,Granma,1579
Mayabeque,Granma,680
Matanzas,Granma,511
Villa Clara,Granma,177
Cienfuegos,Granma,120
Sancti Spíritus,Granma,140
Ciego de Avila,Granma,331
Camagüey,Granma,423
Las Tunas,Granma,260
Holguín,Granma,323
Granma,Granma,360
Santiago de Cuba,Granma,53
Guantánamo,Granma,65
Pinar del Río,Santiago de Cuba,29
Artemisa,Santiago de Cuba,437
La Habana,Santiago de Cuba,1565
Mayabeque,Santiago de Cuba,378
Matanzas,Santiago de Cuba,446
Villa Clara,Santiago de Cuba,111
Cienfuegos,Santiago de Cuba,153
Sancti Spíritus,Santiago de Cuba,98
Ciego de Avila,Santiago de Cuba,250
Camagüey,Santiago de Cuba,301
Las Tunas,Santiago de Cuba,148
Holguín,Santiago de Cuba,354
Granma,Santiago de Cuba,341
Santiago de Cuba,Santiago de Cuba,339
Guantánamo,Santiago de Cuba,53
Pinar del Río,Guantánamo,4
Artemisa,Guantánamo,317
La Habana,Guantánamo,1189
Mayabeque,Guantánamo,340
Matanzas,Guantánamo,249
Villa Clara,Guantánamo,88
Cienfuegos,Guantánamo,88
Sancti Spíritus,Guantánamo,116
Ciego de Avila,Guantánamo,167
Camagüey,Guantánamo,268
Las Tunas,Guantánamo,66
Holguín,Guantánamo,305
Granma,Guantánamo,97
Santiago de Cuba,Guantánamo,376
Guantánamo,Guantánamo,52
Pinar del Río,Isla de la Juventud,13
Artemisa,Isla de la Juventud,54
La Habana,Isla de la Juventud,245
Mayabeque,Isla de la Juventud,78
Matanzas,Isla de la Juventud,10
Villa Clara,Isla de la Juventud,10
Cienfuegos,Isla de la Juventud,10
Sancti Spíritus,Isla de la Juventud,5
Ciego de Avila,Isla de la Juventud,3
Camagüey,Isla de la Juventud,18
Las Tunas,Isla de la Juventud,14
Holguín,Isla de la Juventud,34
Granma,Isla de la Juventud,34
Santiago de Cuba,Isla de la Juventud,27
Guantánamo,Isla de la Juventud,42
