Pinar del Río,Pinar del Río,1821
Artemisa,Pinar del Río,463
La Habana,Pinar del Río,1036
Mayabeque,Pinar del Río,57
Matanzas,Pinar del Río,39
Villa Clara,Pinar del Río,19
Cienfuegos,Pinar del Río,14
Sancti Spíritus,Pinar del Río,19
Ciego de Avila,Pinar del Río,12
Camagüey,Pinar del Río,22
Las Tunas,Pinar del Río,17
Holguín,Pinar del Río,28
Granma,Pinar del Río,13
Santiago de Cuba,Pinar del Río,38
Guantánamo,Pinar del Río,9
Isla de la Juventud,Pinar del Río,35
Pinar del Río,Artemisa,2771
Artemisa,Artemisa,195
La Habana,Artemisa,1725
Mayabeque,Artemisa,141
Matanzas,Artemisa,43
Villa Clara,Artemisa,31
Cienfuegos,Artemisa,31
Sancti Spíritus,Artemisa,57
Ciego de Avila,Artemisa,15
Camagüey,Artemisa,66
Las Tunas,Artemisa,61
Holguín,Artemisa,93
Granma,Artemisa,114
Santiago de Cuba,Artemisa,121
Guantánamo,Artemisa,43
Isla de la Juventud,Artemisa,35
Pinar del Río,La Habana,3507
Artemisa,La Habana,124
La Habana,La Habana,526
Mayabeque,La Habana,476
Matanzas,La Habana,187
Villa Clara,La Habana,218
Cienfuegos,La Habana,118
Sancti Spíritus,La Habana,172
Ciego de Avila,La Habana,85
Camagüey,La Habana,282
Las Tunas,La Habana,218
Holguín,La Habana,279
Granma,La Habana,212
Santiago de Cuba,La Habana,314
Guantánamo,La Habana,146
Isla de la Juventud,La Habana,150
Pinar del Río,Mayabeque,2421
Artemisa,Mayabeque,42
La Habana,Mayabeque,170
Mayabeque,Mayabeque,1417
Matanzas,Mayabeque,169
Villa Clara,Mayabeque,44
Cienfuegos,Mayabeque,17
Sancti Spíritus,Mayabeque,36
Ciego de Avila,Mayabeque,13
Camagüey,Mayabeque,49
Las Tunas,Mayabeque,79
Holguín,Mayabeque,93
Granma,Mayabeque,106
Santiago de Cuba,Mayabeque,84
Guantánamo,Mayabeque,56
Isla de la Juventud,Mayabeque,46
Pinar del Río,Matanzas,2151
Artemisa,Matanzas,25
La Habana,Matanzas,62
Mayabeque,Matanzas,654
Matanzas,Matanzas,146
Villa Clara,Matanzas,223
Cienfuegos,Matanzas,144
Sancti Spíritus,Matanzas,103
Ciego de Avila,Matanzas,49
Camagüey,Matanzas,130
Las Tunas,Matanzas,95
Holguín,Matanzas,132
Granma,Matanzas,103
Santiago de Cuba,Matanzas,192
Guantánamo,Matanzas,74
Isla de la Juventud,Matanzas,19
Pinar del Río,Villa Clara,2074
Artemisa,Villa Clara,11
La Habana,Villa Clara,62
Mayabeque,Villa Clara,688
Matanzas,Villa Clara,31
Villa Clara,Villa Clara,226
Cienfuegos,Villa Clara,293
Sancti Spíritus,Villa Clara,446
Ciego de Avila,Villa Clara,53
Camagüey,Villa Clara,83
Las Tunas,Villa Clara,40
Holguín,Villa Clara,36
Granma,Villa Clara,36
Santiago de Cuba,Villa Clara,29
Guantánamo,Villa Clara,21
Isla de la Juventud,Villa Clara,19
Pinar del Río,Cienfuegos,1066
Artemisa,Cienfuegos,3
La Habana,Cienfuegos,17
Mayabeque,Cienfuegos,337
Matanzas,Cienfuegos,24
Villa Clara,Cienfuegos,97
Cienfuegos,Cienfuegos,244
Sancti Spíritus,Cienfuegos,122
Ciego de Avila,Cienfuegos,22
Camagüey,Cienfuegos,62
Las Tunas,Cienfuegos,34
Holguín,Cienfuegos,40
Granma,Cienfuegos,18
Santiago de Cuba,Cienfuegos,28
Guantánamo,Cienfuegos,9
Isla de la Juventud,Cienfuegos,9
Pinar del Río,Sancti Spíritus,1589
Artemisa,Sancti Spíritus,18
La Habana,Sancti Spíritus,50
Mayabeque,Sancti Spíritus,423
Matanzas,Sancti Spíritus,15
Villa Clara,Sancti Spíritus,59
Cienfuegos,Sancti Spíritus,431
Sancti Spíritus,Sancti Spíritus,103
Ciego de Avila,Sancti Spíritus,143
Camagüey,Sancti Spíritus,114
Las Tunas,Sancti Spíritus,51
Holguín,Sancti Spíritus,91
Granma,Sancti Spíritus,20
Santiago de Cuba,Sancti Spíritus,32
Guantánamo,Sancti Spíritus,29
Isla de la Juventud,Sancti Spíritus,10
Pinar del Río,Ciego de Avila,1941
Artemisa,Ciego de Avila,5
La Habana,Ciego de Avila,60
Mayabeque,Ciego de Avila,550
Matanzas,Ciego de Avila,50
Villa Clara,Ciego de Avila,66
Cienfuegos,Ciego de Avila,118
Sancti Spíritus,Ciego de Avila,47
Ciego de Avila,Ciego de Avila,313
Camagüey,Ciego de Avila,335
Las Tunas,Ciego de Avila,51
Holguín,Ciego de Avila,118
Granma,Ciego de Avila,73
Santiago de Cuba,Ciego de Avila,95
Guantánamo,Ciego de Avila,47
Isla de la Juventud,Ciego de Avila,13
Pinar del Río,Camagüey,2879
Artemisa,Camagüey,10
La Habana,Camagüey,105
Mayabeque,Camagüey,1118
Matanzas,Camagüey,112
Villa Clara,Camagüey,128
Cienfuegos,Camagüey,121
Sancti Spíritus,Camagüey,73
Ciego de Avila,Camagüey,173
Camagüey,Camagüey,202
Las Tunas,Camagüey,401
Holguín,Camagüey,139
Granma,Camagüey,108
Santiago de Cuba,Camagüey,128
Guantánamo,Camagüey,45
Isla de la Juventud,Camagüey,16
Pinar del Río,Las Tunas,2523
Artemisa,Las Tunas,8
La Habana,Las Tunas,144
Mayabeque,Las Tunas,969
Matanzas,Las Tunas,85
Villa Clara,Las Tunas,68
Cienfuegos,Las Tunas,64
Sancti Spíritus,Las Tunas,56
Ciego de Avila,Las Tunas,78
Camagüey,Las Tunas,46
Las Tunas,Las Tunas,483
Holguín,Las Tunas,311
Granma,Las Tunas,80
Santiago de Cuba,Las Tunas,66
Guantánamo,Las Tunas,27
Isla de la Juventud,Las Tunas,38
Pinar del Río,Holguín,5062
Artemisa,Holguín,24
La Habana,Holguín,192
Mayabeque,Holguín,2696
Matanzas,Holguín,201
Villa Clara,Holguín,144
Cienfuegos,Holguín,103
Sancti Spíritus,Holguín,66
Ciego de Avila,Holguín,164
Camagüey,Holguín,123
Las Tunas,Holguín,290
Holguín,Holguín,497
Granma,Holguín,178
Santiago de Cuba,Holguín,246
Guantánamo,Holguín,87
Isla de la Juventud,Holguín,51
Pinar del Río,Granma,4838
Artemisa,Granma,24
La Habana,Granma,346
Mayabeque,Granma,2312
Matanzas,Granma,427
Villa Clara,Granma,187
Cienfuegos,Granma,128
Sancti Spíritus,Granma,71
Ciego de Avila,Granma,153
Camagüey,Granma,120
Las Tunas,Granma,284
Holguín,Granma,250
Granma,Granma,244
Santiago de Cuba,Granma,216
Guantánamo,Granma,35
Isla de la Juventud,Granma,41
Pinar del Río,Santiago de Cuba,4362
Artemisa,Santiago de Cuba,5
La Habana,Santiago de Cuba,346
Mayabeque,Santiago de Cuba,2298
Matanzas,Santiago de Cuba,261
Villa Clara,Santiago de Cuba,193
Cienfuegos,Santiago de Cuba,67
Sancti Spíritus,Santiago de Cuba,78
Ciego de Avila,Santiago de Cuba,100
Camagüey,Santiago de Cuba,80
Las Tunas,Santiago de Cuba,201
Holguín,Santiago de Cuba,116
Granma,Santiago de Cuba,214
Santiago de Cuba,Santiago de Cuba,198
Guantánamo,Santiago de Cuba,158
Isla de la Juventud,Santiago de Cuba,47
Pinar del Río,Guantánamo,3325
Artemisa,Guantánamo,6
La Habana,Guantánamo,220
Mayabeque,Guantánamo,1832
Matanzas,Guantánamo,186
Villa Clara,Guantánamo,135
Cienfuegos,Guantánamo,44
Sancti Spíritus,Guantánamo,69
Ciego de Avila,Guantánamo,71
Camagüey,Guantánamo,73
Las Tunas,Guantánamo,137
Holguín,Guantánamo,68
Granma,Guantánamo,146
Santiago de Cuba,Guantánamo,39
Guantánamo,Guantánamo,254
Isla de la Juventud,Guantánamo,45
Pinar del Río,Isla de la Juventud,579
Artemisa,Isla de la Juventud,9
La Habana,Isla de la Juventud,41
Mayabeque,Isla de la Juventud,354
Matanzas,Isla de la Juventud,30
Villa Clara,Isla de la Juventud,15
Cienfuegos,Isla de la Juventud,13
Sancti Spíritus,Isla de la Juventud,6
Ciego de Avila,Isla de la Juventud,8
Camagüey,Isla de la Juventud,4
Las Tunas,Isla de la Juventud,8
Holguín,Isla de la Juventud,22
Granma,Isla de la Juventud,16
Santiago de Cuba,Isla de la Juventud,18
Guantánamo,Isla de la Juventud,21
Isla de la Juventud,Isla de la Juventud,14
